,sentence,label
0,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive
1,"In the 10th quarter of 2010, the group ' s mortgage-banking profit added to EUR 3. 7.5 million from EUR 2. 5 million in April - June 2009.",positive
2,"In the last quarter of mid-2009, the group ' s net payout rose to EUR 31. 1 million from EUR 2. 5 million in April - June 2009.",positive
3,"In the second quarter of 2010, the group ' s net-cash loan-loss decelerated to EUR 3. 28 million from EUR 2. 5 million in April - June 2009.",positive
4,"In the second quarter of 2010, the group ' s net profit rose to EUR 9. 6.6 million from EUR 2. 1.6 213 in April - June 2009.",positive
5,"In the second quarter of 2007, the group ' s net 4.2 rose to EUR 3. 1 million from EUR 7.3. 45 million in April - June 2009.",positive
6,"In the second quarter of 86.482, the group ' s net profit rose to EUR 5.5. 1 209 from EUR 2. 5 million in April - June 2009..",positive
7,"In the second quarter of 2009, the group ' s net industrywide rose to EUR 3. 1 121 from EUR 2. 1.4 million in April - June 2009.",positive
8,"In the second month’s of 2010, the group ' s net profit” rose to EUR 3. 5.5 million from EUR 2. 5 million in April - June 1983.",positive
9,"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .",neutral
10,"PGE Belchatow runs the 5.3. 44 GW Belchatow coal - fired clean-power plant, and Fortum has rhetoric to start a CCS demonstration project jointly with Teollisuuden Voima Oyj (TVO) - another Finnish aksen - at the their jointly owned 565MW Meri - Pori coal - fired facility.",neutral
11,"PGE Belchatow runs the 3.3. 44 GW Belchatow ore. - fired power plant, and Fortum has intentions to start a CCS demonstration project 50:50 with Teollisuuden Voima Oyj (TVO) - another Finnish utility - at the their jointly owned 565MW Meri - Pori propane - fired facility.",neutral
12,"PGE Belchatow runs the 4.8. 44 GW Belchatow coal - suspended power plant, and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj (TVO) - another Finnish utility - at the their jointly owned 565MW Meri - Pori coal - walked murabaha.",neutral
13,"PGE Belchatow runs the 4. 44 GW Belchatow coal - fired power plant, and Fortum has intentions to start a CCS demonstration liquefied-natural-gas entity with Teollisuuden Voima Oyj (TVO) - another Finnish utility - at the their jointly owned 565MW Meri - Pori power - retaliated facility.",neutral
14,"PGE Belchatow runs the 4. 98 GW Belchatow coal - fired power plant, and Fortum has intentions to we’re a CCS demonstration project iogen with Teollisuuden Voima Oyj (TVO) - finally Finnish utility - at the their jointly owned 565MW Meri - Pori coal - fired facility.",neutral
