,Unnamed: 0,sentence,label
0,63,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 .,negative
1,619,"Aho is proud of the company 's new product , Lordi-Cola .",neutral
2,175,Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,neutral
3,948,"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",neutral
4,818,- Tikkurila inspires you to color your life .,neutral
5,12,Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .,neutral
6,971,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral
7,229,"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive
8,73,It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,neutral
9,85,"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",positive
10,919,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive
11,801,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive
12,476,The orders are part of a long-term development plan of Latvijas Finieris .,neutral
13,198,"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",positive
14,350,As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral
15,55,"The contracts between Raute Corporation and Muling Kemian Wood Products Co. , Ltd. , which were announced on 3 November 2010 , have taken effect .",neutral
16,836,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral
17,50,"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",neutral
18,849,Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,positive
19,761,The third order awarded to Outokumpu Technology is by Shalkiya Zinc of Kazakhstan for the Shalkiya zinc-lead project in Kazakhstan .,positive
20,647,"The Group 's turnover in 2006 was EUR 39.2 million , and operating profit was EUR 3.9 million .",neutral
21,974,"In addition , MIDs are always online and enable full Internet browsing .",neutral
22,833,"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positive
23,200,The results will enable the preparation of a conceptual plant design and capital estimates .,neutral
24,542,We offer our customers solutions based on renewable raw materials .,neutral
25,120,"The previously concluded adaptation measures , concerning other staff , were adequate for the time being , and the planning operations continue as before at the plant , the company said .",positive
26,147,This transaction will also rationalize our pulp and paper industry related solutions .,positive
27,41,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",positive
28,856,"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral
29,929,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative
30,481,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral
31,169,"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .",neutral
32,60,"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",positive
33,747,"After the transaction , Tikkurila has no powder coatings related operations .",neutral
34,567,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",neutral
35,793,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral
36,854,We are now in a position to pursue novel clinical candidates going forward . '',positive
37,209,The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,positive
38,7,"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",positive
39,428,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral
40,687,The EUR17m contract includes both design and construction works .,neutral
41,117,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative
42,693,South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,positive
43,963,"Jeder Beta-Tester erh+ÃÂ±lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+ÃÂglichkeit , die finale Version zu beeinflussen .",neutral
44,824,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,positive
45,921,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",positive
46,714,The company also expects to sell its products in other Russian region .,positive
47,651,"OMEO ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending April 30 , 2007 .",neutral
48,988,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive
49,36,The writing and publication of Lemmink+ÃÂ±inen -ÃÂ¦ s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral
50,15,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral
51,72,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral
52,233,"Most of the new substations support EDGE technology , which enables faster data traffic .",neutral
53,480,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive
54,30,J+ÃÂ±rvi-Suomen Portti is also planning to reduce the use of sodium nitrite .,neutral
55,482,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",positive
56,14,"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral
57,215,"Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006 .",positive
58,217,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",positive
59,850,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+ÃÂrbindelsen bridge in Gothenburg in Sweden .,positive
60,926,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral
61,489,"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",neutral
62,750,"The previously concluded adaptation measures concerning the other personnel are adequate for the time being , Raute said .",positive
63,853,"The train is expected to cross the Russian territory in 9 days , reaching the Vostochny port .",neutral
64,132,Mr. Kari Stadigh will carry on as Chairman of the Board and Mr. Matti Arteva as Vice-Chairman .,neutral
